coverage_threshold,clusters,singletons,monophyletic,non_monophyletic
40.0,30,13,16,1
40.1,30,13,16,1
40.2,30,13,16,1
40.3,30,13,16,1
40.4,30,13,16,1
40.5,31,13,17,1
40.6,32,13,18,1
40.7,33,14,18,1
40.8,33,14,18,1
40.9,33,14,18,1
41.0,33,14,18,1
41.1,33,14,18,1
41.2,33,14,18,1
41.3,33,14,18,1
41.4,33,14,18,1
41.5,33,14,18,1
41.6,33,14,18,1
41.7,33,14,18,1
41.8,33,14,18,1
41.9,33,14,18,1
42.0,34,15,18,1
42.1,34,15,18,1
42.2,34,15,18,1
42.3,34,15,18,1
42.4,34,15,18,1
42.5,34,15,18,1
42.6,34,15,18,1
42.7,34,15,18,1
42.8,34,15,18,1
42.9,34,15,18,1
43.0,34,15,18,1
43.1,34,15,18,1
43.2,35,16,17,2
43.3,35,16,17,2
43.4,35,16,17,2
43.5,35,16,17,2
43.6,35,16,17,2
43.7,35,16,17,2
43.8,36,16,19,1
43.9,36,16,19,1
44.0,36,16,19,1
44.1,36,16,19,1
44.2,36,16,19,1
44.3,38,18,19,1
44.4,38,18,19,1
44.5,38,18,19,1
44.6,38,18,19,1
44.7,39,18,20,1
44.8,39,18,20,1
44.9,39,18,20,1
45.0,39,18,20,1
45.1,40,18,21,1
45.2,40,18,21,1
45.3,40,18,21,1
45.4,40,18,21,1
45.5,40,18,21,1
45.6,40,18,21,1
45.7,41,18,22,1
45.8,42,19,22,1
45.9,42,19,22,1
46.0,42,19,22,1
46.1,42,19,22,1
46.2,42,19,22,1
46.3,43,20,22,1
46.4,43,20,22,1
46.5,43,20,22,1
46.6,43,20,22,1
46.7,43,20,22,1
46.8,43,20,22,1
46.9,43,20,22,1
47.0,43,20,22,1
47.1,43,20,22,1
47.2,43,20,22,1
47.3,43,20,22,1
47.4,43,20,22,1
47.5,43,20,22,1
47.6,45,23,21,1
47.7,45,23,21,1
47.8,45,23,21,1
47.9,45,23,21,1
48.0,45,23,21,1
48.1,45,23,21,1
48.2,45,23,21,1
48.3,45,23,21,1
48.4,45,23,21,1
48.5,46,23,21,2
48.6,46,23,21,2
48.7,46,23,21,2
48.8,46,23,21,2
48.9,46,23,21,2
49.0,46,23,21,2
49.1,47,24,20,3
49.2,47,24,20,3
49.3,47,24,20,3
49.4,47,24,20,3
49.5,47,24,20,3
49.6,47,24,20,3
49.7,47,24,20,3
49.8,47,24,20,3
49.9,47,24,20,3
50.0,47,24,20,3
50.1,47,24,20,3
50.2,47,24,20,3
50.3,47,24,20,3
50.4,47,24,20,3
50.5,47,24,20,3
50.6,48,24,21,3
50.7,49,25,22,2
50.8,51,25,23,3
50.9,52,26,22,4
51.0,52,26,22,4
51.1,52,26,22,4
51.2,53,26,24,3
51.3,53,26,24,3
51.4,54,26,25,3
51.5,54,26,25,3
51.6,54,26,25,3
51.7,55,27,25,3
51.8,55,27,25,3
51.9,56,27,26,3
52.0,56,27,26,3
52.1,56,27,26,3
52.2,57,27,27,3
52.3,57,27,27,3
52.4,57,27,27,3
52.5,58,27,28,3
52.6,58,27,28,3
52.7,58,27,28,3
52.8,59,27,28,4
52.9,60,27,29,4
53.0,61,27,30,4
53.1,61,27,30,4
53.2,61,27,30,4
53.3,61,27,30,4
53.4,61,27,30,4
53.5,62,27,31,4
53.6,62,27,31,4
53.7,62,27,31,4
53.8,63,28,31,4
53.9,64,29,32,3
54.0,67,30,34,3
54.1,67,30,34,3
54.2,67,30,34,3
54.3,67,30,34,3
54.4,69,31,35,3
54.5,70,32,34,4
54.6,71,32,35,4
54.7,71,32,35,4
54.8,72,32,36,4
54.9,72,32,36,4
55.0,74,34,37,3
55.1,74,34,37,3
55.2,74,34,37,3
55.3,77,36,37,4
55.4,78,36,39,3
55.5,79,36,41,2
55.6,79,36,41,2
55.7,79,36,41,2
55.8,79,36,41,2
55.9,79,36,41,2
56.0,80,37,41,2
56.1,80,37,41,2
56.2,80,37,41,2
56.3,80,37,41,2
56.4,80,37,41,2
56.5,80,37,41,2
56.6,80,37,41,2
56.7,81,38,41,2
56.8,81,38,41,2
56.9,81,38,41,2
57.0,81,38,41,2
57.1,81,38,41,2
57.2,81,38,41,2
57.3,83,40,42,1
57.4,83,40,42,1
57.5,83,40,42,1
57.6,84,40,42,2
57.7,85,41,42,2
57.8,85,41,42,2
57.9,85,41,42,2
