accession,genome_GC,Orthogroup,SCO_GC,monophyletic
GCF_009811635.1,70.73582516176545,OG0002232,56.01374570446736,No
GCF_004125265.1,70.94689834119383,OG0002232,56.01374570446736,No
GCF_000719265.1,72.41642711509591,OG0002232,56.02836879432624,Yes
GCF_013394065.1,72.07981307532526,OG0002232,56.02836879432624,Yes
GCF_015475835.1,72.29851637947058,OG0002232,56.02836879432624,Yes
GCF_009811555.1,71.33644441223096,OG0002232,56.3573883161512,Yes
GCF_002941025.1,70.87762482786731,OG0002232,56.4625850340136,Yes
GCF_001905505.1,71.24872686112982,OG0002232,56.4625850340136,Yes
GCF_009811575.1,71.0800540648297,OG0002232,56.70103092783505,Yes
GCF_000718015.1,72.97201453063025,OG0002232,56.70103092783505,Yes
GCF_900187385.1,71.0265375150324,OG0002232,56.70103092783505,Yes
GCF_001905005.1,71.90923884075247,OG0002232,56.70103092783505,Yes
GCF_003389455.1,70.4648605806529,OG0002232,56.70103092783505,Yes
GCF_000829715.2,71.10265231925432,OG0002232,56.70103092783505,Yes
GCF_002154415.1,72.04658620890199,OG0002232,56.70103092783505,Yes
GCF_001434355.1,71.7243872234859,OG0002232,56.73758865248227,Yes
GCF_004125315.1,71.40638299845043,OG0002232,56.80272108843537,Yes
GCF_000380165.1,72.03496733301846,OG0002232,56.84210526315789,Yes
GCF_008704495.1,71.03040419692445,OG0002232,56.94444444444444,Yes
GCF_003865155.1,72.03283162627643,OG0002232,57.0446735395189,Yes
GCF_000805335.1,71.30196381794673,OG0002232,57.0446735395189,Yes
GCF_000719185.1,72.08319570586902,OG0002232,57.0446735395189,Yes
GCF_004125245.1,72.01623646813974,OG0002232,57.0446735395189,Yes
GCF_009834125.1,71.5881327199418,OG0002232,57.0446735395189,Yes
GCF_008704655.1,71.95970710448734,OG0002232,57.0446735395189,Yes
GCF_001270575.1,70.96611250672458,OG0002232,57.0446735395189,Yes
GCF_008634025.1,72.31519373754067,OG0002232,57.0446735395189,Yes
GCF_009863125.1,70.97059002585705,OG0002232,57.09219858156028,Yes
GCF_002910905.1,71.11775336959565,OG0002232,57.09219858156028,Yes
GCF_018619185.1,71.58550682310738,OG0002232,57.09219858156028,Yes
GCF_001294345.1,70.63960082111876,OG0002232,57.14285714285714,Yes
GCF_008704555.1,72.17223838570469,OG0002232,57.14285714285714,Yes
GCF_900095575.1,71.79502345502753,OG0002232,57.14285714285714,Yes
GCF_000698495.1,71.90525115243925,OG0002232,57.14285714285714,Yes
GCF_000935185.3,72.3496066608556,OG0002232,57.38831615120274,Yes
GCF_000720175.1,71.49557545860554,OG0002232,57.38831615120274,Yes
GCF_014648695.1,70.84029136574024,OG0002232,57.38831615120274,Yes
GCF_003994375.1,70.7989531942107,OG0002232,57.38831615120274,Yes
GCF_000719365.1,71.5883297638565,OG0002232,57.38831615120274,Yes
GCF_011290345.1,70.73576866042221,OG0002232,57.38831615120274,Yes
GCF_000715845.1,71.01373388843392,OG0002232,57.38831615120274,Yes
GCF_010548165.1,71.65749135805102,OG0002232,57.44680851063831,No
GCF_016906245.1,72.51180349250771,OG0002232,57.44680851063831,Yes
GCF_016901035.1,71.6697437696203,OG0002232,57.44680851063831,No
GCF_001746305.1,71.58706601368708,OG0002232,57.44680851063831,No
GCF_002551175.1,71.54293541516054,OG0002232,57.44680851063831,No
GCF_009863145.1,71.54155446220113,OG0002232,57.44680851063831,No
GCF_000718455.1,71.65156533049444,OG0002232,57.44680851063831,Yes
GCF_002551145.1,71.7512317437235,OG0002232,57.44680851063831,No
GCF_014649535.1,70.56218698012687,OG0002232,57.44680851063831,Yes
GCF_013364315.1,71.29451435141188,OG0002232,57.44680851063831,No
