Orthogroup,accession,protein_id,product,record_id,locus_tag,seq_type,oriC_strand,SCOG_location,label
OG0002076,GCF_000009765.2,WP_003949403.1,30S ribosomal protein S18,NC_003155.5,SAVERM_RS22165,chromosome,positive,58.21128061400407,OG0002076: 30S ribosomal protein S18[60]
OG0002077,GCF_000009765.2,WP_003953493.1,CarD family transcriptional regulator,NC_003155.5,SAVERM_RS20490,chromosome,positive,54.24671667548602,OG0002077: arD family transcriptional regulator[60]
OG0002078,GCF_000009765.2,WP_003974245.1,50S ribosomal protein L36,NC_003155.5,SAVERM_RS25545,chromosome,positive,66.48379809980668,OG0002078: 50S ribosomal protein L36[60]
OG0002079,GCF_000009765.2,WP_003974262.1,50S ribosomal protein L22,NC_003155.5,SAVERM_RS25450,chromosome,positive,66.37122950608979,OG0002079: 50S ribosomal protein L22[60]
OG0002080,GCF_000009765.2,WP_003998824.1,50S ribosomal protein L29,NC_003155.5,SAVERM_RS25465,chromosome,positive,66.38895684368299,OG0002080: 50S ribosomal protein L29[60]
OG0002081,GCF_000009765.2,WP_005479813.1,RNA-binding protein,NC_003155.5,SAVERM_RS13760,chromosome,positive,35.89833504845325,OG0002081: RNA-binding protein[60]
OG0002082,GCF_000009765.2,WP_005481207.1,50S ribosomal protein L30,NC_003155.5,SAVERM_RS25515,chromosome,positive,66.4362112779549,OG0002082: 50S ribosomal protein L30[60]
OG0002083,GCF_000009765.2,WP_006123076.1,bifunctional nuclease family protein,NC_003155.5,SAVERM_RS35885,chromosome,positive,92.41734185663724,OG0002083: bifunctional nuclease family protein[60]
OG0002086,GCF_000009765.2,WP_007493396.1,50S ribosomal protein L32,NC_003155.5,SAVERM_RS13880,chromosome,positive,36.22116094561164,OG0002086: 50S ribosomal protein L32[60]
OG0002089,GCF_000009765.2,WP_010982927.1,SDR family oxidoreductase,NC_003155.5,SAVERM_RS07910,chromosome,positive,20.29539727406729,OG0002089: SDR family NAD(P)-dependent oxidoreductase[38] | SDR family oxidoreductase[22]
OG0002090,GCF_000009765.2,WP_010982928.1,hypothetical protein,NC_003155.5,SAVERM_RS07915,chromosome,positive,20.30409474907397,OG0002090: hypothetical protein[59] | DUF6421 family protein[1]
OG0002097,GCF_000009765.2,WP_010983848.1,DUF3071 domain-containing protein,NC_003155.5,SAVERM_RS12585,chromosome,positive,32.558493566306005,OG0002097: DUF3071 domain-containing protein[59] | septation protein SepH[1]
OG0002099,GCF_000009765.2,WP_010983858.1,insulinase family protein,NC_003155.5,SAVERM_RS12635,chromosome,positive,32.68380368391802,OG0002099: insulinase family protein[59] | pitrilysin family protein[1]
OG0002100,GCF_000009765.2,WP_010983899.1,transcriptional repressor NrdR,NC_003155.5,SAVERM_RS12840,chromosome,positive,33.27847830306833,OG0002100: anscriptional repressor NrdR[54] | transcriptional regulator NrdR[6]
OG0002102,GCF_000009765.2,WP_010983958.1,4-hydroxy-tetrahydrodipicolinate reductase,NC_003155.5,SAVERM_RS13160,chromosome,positive,34.17715460277025,OG0002102: 4-hydroxy-tetrahydrodipicolinate reductase[60]
OG0002103,GCF_000009765.2,WP_010983984.1,tRNA pseudouridine(55) synthase TruB,NC_003155.5,SAVERM_RS13290,chromosome,positive,34.64656342265253,OG0002103: RNA pseudouridine(55) synthase TruB[60]
OG0002104,GCF_000009765.2,WP_010983990.1,ribosome maturation factor RimP,NC_003155.5,SAVERM_RS13325,chromosome,positive,34.71903499465078,OG0002104: ibosome maturation factor RimP[60]
OG0002105,GCF_000009765.2,WP_010984077.1,ribosome maturation factor RimM,NC_003155.5,SAVERM_RS13755,chromosome,positive,35.890922805422086,OG0002105: ibosome maturation factor RimM[60]
OG0002107,GCF_000009765.2,WP_010984093.1,acylphosphatase,NC_003155.5,SAVERM_RS13845,chromosome,positive,36.15594650244061,OG0002107: acylphosphatase[60]
OG0002108,GCF_000009765.2,WP_010984098.1,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,NC_003155.5,SAVERM_RS13870,chromosome,positive,36.20153899881316,OG0002108: bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase[60]
OG0002109,GCF_000009765.2,WP_010984100.1,DUF177 domain-containing protein,NC_003155.5,SAVERM_RS13885,chromosome,positive,36.22311095274689,OG0002109: DUF177 domain-containing protein[60]
