ST,accession,organism,16S_copies,strain,assembly_status,status_tax,Type_Strain,pyani_group_ID,pyani_label,degree,pyani_genus_ID,pyani_species_ID
2,GCF_016906245.1,Streptomyces californicus,6,FDAARGOS_1213,Complete Genome,correct name,No,7,GCF_016906245.1 | Streptomyces californicus FDAARGOS_1213 - ST 2,6,96,133
2,GCF_000715745.1,Streptomyces californicus,1,NRRL B-3320,Scaffold,correct name,No,7,GCF_000715745.1 | Streptomyces californicus NRRL B-3320 - ST 2,6,96,133
2,GCF_000717645.1,Streptomyces californicus,1,NRRL B-2098,Contig,correct name,Yes,7,GCF_000717645.1 | Streptomyces californicus NRRL B-2098 - ST 2,6,96,133
2,GCF_000717965.1,Streptomyces purpeochromogenes,1,NRRL B-3012,Contig,no record in LPSN entry,No,7,GCF_000717965.1 | Streptomyces purpeochromogenes NRRL B-3012 - ST 2,6,96,133
2,GCF_000718245.1,Streptomyces californicus,1,NRRL B-2988,Contig,correct name,No,7,GCF_000718245.1 | Streptomyces californicus NRRL B-2988 - ST 2,6,96,133
2,GCF_000718615.1,Streptomyces purpeochromogenes,1,NRRL ISP-5373,Contig,no record in LPSN entry,No,7,GCF_000718615.1 | Streptomyces purpeochromogenes NRRL ISP-5373 - ST 2,6,96,133
2,GCF_000720065.1,Streptomyces sp.,1,NRRL F-3273,Contig,not validly described,No,7,GCF_000720065.1 | Streptomyces sp. NRRL F-3273 - ST 2,6,96,133
2,GCF_016906225.1,Streptomyces californicus,5,FDAARGOS_1211,Complete Genome,correct name,No,7,GCF_016906225.1 | Streptomyces californicus FDAARGOS_1211 - ST 2,6,96,133
2,GCF_016906205.1,Streptomyces californicus,6,FDAARGOS_1212,Complete Genome,correct name,No,7,GCF_016906205.1 | Streptomyces californicus FDAARGOS_1212 - ST 2,6,96,133
2,GCF_016906185.1,Streptomyces californicus,5,FDAARGOS_1209,Complete Genome,correct name,No,7,GCF_016906185.1 | Streptomyces californicus FDAARGOS_1209 - ST 2,6,96,133
