ST,accession,organism,16S_copies,strain,assembly_status,status_tax,Type_Strain,pyani_group_ID,pyani_genus_ID,pyani_species_ID,completeness,contamination,strain_heterogeneity,total_genes,total_cds,GC_content,genome_size
2,GCF_016906245.1,Streptomyces californicus,6,FDAARGOS_1213,Complete Genome,correct name,No,7,96,133,99.93,0.47,0.0,6978,0,72.51180349250771,8084048
2,GCF_000715745.1,Streptomyces californicus,1,NRRL B-3320,Scaffold,correct name,No,7,96,133,91.09,0.12,0.0,7556,0,69.5698383146665,8023053
2,GCF_000717645.1,Streptomyces californicus,1,NRRL B-2098,Contig,correct name,Yes,7,96,133,99.93,0.82,0.0,6805,0,72.68910525852718,7785545
2,GCF_000717965.1,Streptomyces purpeochromogenes,1,NRRL B-3012,Contig,no record in LPSN entry,No,7,96,133,99.93,0.47,0.0,6917,0,72.64698073644607,7887122
2,GCF_000718245.1,Streptomyces californicus,1,NRRL B-2988,Contig,correct name,No,7,96,133,99.93,0.47,0.0,6789,0,72.69425232833758,7783343
2,GCF_000718615.1,Streptomyces purpeochromogenes,1,NRRL ISP-5373,Contig,no record in LPSN entry,No,7,96,133,99.93,0.47,0.0,7022,0,72.60761495099115,7996821
2,GCF_000720065.1,Streptomyces sp.,1,NRRL F-3273,Contig,not validly described,No,7,96,133,99.93,2.12,18.18,7444,0,72.49361470839541,8249819
2,GCF_016906225.1,Streptomyces californicus,5,FDAARGOS_1211,Complete Genome,correct name,No,7,96,133,99.93,0.47,0.0,7017,0,72.52443245090413,8053224
2,GCF_016906205.1,Streptomyces californicus,6,FDAARGOS_1212,Complete Genome,correct name,No,7,96,133,99.93,0.47,0.0,6977,0,72.51830905199729,8082614
2,GCF_016906185.1,Streptomyces californicus,5,FDAARGOS_1209,Complete Genome,correct name,No,7,96,133,99.93,0.47,0.0,7001,0,72.55686719218455,8031696
9,GCF_000717025.1,Streptomyces atroolivaceus,1,NRRL ISP-5137,Contig,correct name,No,40,70,102,99.93,0.03,0.0,7218,0,70.72708854584603,8216207
11,GCF_000725545.1,Streptomyces exfoliatus,1,NRRL B-2924,Scaffold,correct name,Yes,101,6,15,99.84,1.64,0.0,7134,0,71.92949751979599,7874957
11,GCF_000718175.1,Streptomyces exfoliatus,1,NRRL B-2924,Contig,correct name,Yes,101,6,15,99.84,6.94,11.9,8651,0,71.72183918955784,8618209
12,GCF_900105705.1,Streptomyces griseus,6,DSM 40236,Contig,correct name,Yes,1,1,1,99.84,1.06,100.0,7264,0,72.24517137046314,8630192
12,GCF_001723115.1,Streptomyces griseus,1,NRRL B-2165,Scaffold,correct name,No,1,1,1,95.38,0.29,100.0,7443,0,72.11889427529123,8102089
12,GCF_000010605.1,Streptomyces griseus,6,NBRC 13350,Complete Genome,correct name,No,1,1,1,99.84,0.0,0.0,7175,0,72.22740792721306,8545929
