accession,species_ID,genus_ID,designated_species
GCF_016906245.1,133,2,Streptomyces californicus
GCF_000715745.1,133,2,Streptomyces californicus
GCF_000717645.1,133,2,Streptomyces californicus
GCF_000717965.1,133,2,Streptomyces purpeochromogenes
GCF_000718245.1,133,2,Streptomyces californicus
GCF_000718615.1,133,2,Streptomyces purpeochromogenes
GCF_000720065.1,133,2,Streptomyces sp.
GCF_016906225.1,133,2,Streptomyces californicus
GCF_016906205.1,133,2,Streptomyces californicus
GCF_016906185.1,133,2,Streptomyces californicus
GCF_000717025.1,102,11,Streptomyces atroolivaceus
GCF_000725545.1,15,22,Streptomyces exfoliatus
GCF_000718175.1,15,22,Streptomyces exfoliatus
GCF_900105705.1,1,2,Streptomyces griseus
GCF_001723115.1,1,2,Streptomyces griseus
GCF_000010605.1,1,2,Streptomyces griseus
GCF_900460065.1,1,2,Streptomyces griseus
GCF_009866455.1,1,2,Streptomyces griseus
GCF_008704495.1,16,65,Streptomyces kanamyceticus
GCF_001418465.1,16,65,Streptomyces kanamyceticus
GCF_008639165.1,61,22,Streptomyces venezuelae
GCF_001886595.1,61,22,Streptomyces venezuelae
GCF_000720235.1,12,17,Streptomyces sp.
GCF_000720455.1,12,17,Streptomyces virginiae
GCF_000966965.1,12,17,Streptomyces sp.
GCF_002154575.1,124,68,Streptomyces bobili
GCF_002154385.1,52,2,Streptomyces albovinaceus
GCF_004028635.1,174,51,Streptomyces cyaneus
GCF_001700505.1,105,11,Streptomyces mutomycini
GCF_014650935.1,17,66,Streptomyces subrutilus
GCF_008704535.1,17,66,Streptomyces subrutilus
GCF_000716935.1,5,2,Streptomyces alboviridis
GCF_000359525.1,79,59,Streptomyces albidoflavus
GCF_013693715.1,79,59,Streptomyces albidoflavus
GCF_014648615.1,162,17,Streptomyces nojiriensis
GCF_016755855.1,162,17,Streptomyces nojiriensis
GCF_017639205.1,162,17,Streptomyces nojiriensis
GCF_016755875.1,163,17,Streptomyces spororaveus
GCF_000717665.1,133,2,Streptomyces californicus
GCF_013409565.1,9,74,Streptomyces fulvorobeus
GCF_013167895.1,9,74,Streptomyces fulvorobeus
GCF_000720485.1,175,25,Streptomyces ochraceiscleroticus
GCF_001723055.1,128,55,Streptomyces niveus
GCF_001553455.1,39,4,Streptomyces hygroscopicus
GCF_001553475.1,39,4,Streptomyces hygroscopicus
GCF_004125245.1,65,33,Streptomyces lydicus
GCF_009811635.1,145,33,Streptomyces tubercidicus
GCF_001294335.1,64,48,Streptomyces chattanoogensis
GCF_009811555.1,176,33,Streptomyces caniferus
GCF_005405925.1,113,4,Streptomyces antimycoticus
GCF_014648695.1,177,39,Streptomyces albospinus
GCF_001570645.1,39,4,Streptomyces hygroscopicus
GCF_001553435.1,39,4,Streptomyces hygroscopicus
GCF_001270575.1,129,33,Streptomyces decoyicus
GCF_003970715.1,178,62,Streptomyces luteoverticillatus
GCF_002727115.1,107,60,Streptomyces cinnamoneus
GCF_002939475.1,107,60,Streptomyces cinnamoneus
GCF_009811595.1,143,33,Streptomyces libani
GCF_016834575.1,63,20,Streptomyces sp.
GCF_002154275.1,113,4,Streptomyces antimycoticus
GCF_009936315.1,113,4,Streptomyces antimycoticus
GCF_018138715.1,112,4,Streptomyces asiaticus
GCF_018138705.1,112,4,Streptomyces indonesiensis
GCF_002155885.1,112,4,Streptomyces rhizosphaericus
GCF_017942185.1,112,4,Streptomyces rhizosphaericus
GCF_000715845.1,179,21,Streptomyces monomycini
GCF_004195845.1,79,59,Streptomyces albidoflavus
GCF_004195885.1,79,59,Streptomyces albidoflavus
GCF_004195755.1,79,59,Streptomyces albidoflavus
GCF_016612755.1,74,18,Streptomyces sp.
GCF_001514195.1,77,34,Streptomyces griseorubiginosus
GCF_001278075.1,94,47,Streptomyces pristinaespiralis
GCF_014070435.1,94,47,Streptomyces pristinaespiralis
GCF_014650375.1,19,67,Streptomyces nitrosporeus
GCF_008704555.1,19,67,Streptomyces nitrosporeus
GCF_016906265.1,133,2,Streptomyces californicus
GCF_002155905.1,108,16,Streptomyces tricolor
GCF_004195945.1,79,59,Streptomyces albidoflavus
GCF_004196035.1,79,59,Streptomyces albidoflavus
GCF_004195935.1,79,59,Streptomyces albidoflavus
GCF_004195955.1,79,59,Streptomyces albidoflavus
GCF_004195995.1,79,59,Streptomyces albidoflavus
GCF_004195855.1,79,59,Streptomyces albidoflavus
GCF_004196145.1,79,59,Streptomyces albidoflavus
GCF_004196155.1,79,59,Streptomyces albidoflavus
GCF_004195965.1,79,59,Streptomyces albidoflavus
GCF_000716675.1,130,23,Streptomyces alboflavus
GCF_000813365.1,78,40,Streptomyces albus
GCF_001661615.1,78,40,Streptomyces albus
GCF_001418545.1,78,40,Streptomyces albus
GCF_001418125.1,78,40,Streptomyces albus
GCF_002154415.1,68,33,Streptomyces angustmyceticus
GCF_000009765.2,20,1,Streptomyces avermitilis
GCF_000764715.1,20,1,Streptomyces avermitilis
GCF_001514135.1,20,1,Streptomyces avermitilis
GCF_002017835.1,20,1,Streptomyces avermitilis
GCF_005405965.1,20,1,Streptomyces avermitilis
GCF_009862865.1,20,1,Streptomyces sp.
GCF_005406005.1,20,1,Streptomyces avermitilis
GCF_009870085.1,22,14,Streptomyces sp.
GCF_000383595.1,22,14,Streptomyces bottropensis
GCF_000340335.1,22,14,Streptomyces bottropensis
GCF_015912435.1,23,77,Streptomyces clavuligerus
GCF_015912455.1,23,77,Streptomyces clavuligerus
GCF_001693675.1,23,77,Streptomyces clavuligerus
GCF_015912395.1,23,77,Streptomyces clavuligerus
GCF_015767935.1,23,77,Streptomyces clavuligerus
